Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
,0,2020,2021,2022,2023,3,inf
".Kaufman County, Texas",145307,147140,158313,172611,185690,38550,26.53003640567901
".Long County, Georgia",16158,16270,17108,18395,19594,3324,20.571852952098034
".Rockwall County, Texas",107844,109158,116612,123342,131307,22149,20.53799933236898
".Comal County, Texas",161493,163659,174977,184749,193928,30269,18.7432272606243
".Dawson County, Georgia",26796,27059,28498,30189,31732,4673,17.43917002537692
".Broadwater County, Montana",6775,6860,7323,7771,8032,1172,17.29889298892989
".Liberty County, Texas",91631,92479,97488,102462,108272,15793,17.23543342318648
".Custer County, Colorado",4706,4723,5063,5337,5534,811,17.233319167020824
".Sumter County, Florida",129745,130290,134870,144767,151565,21275,16.397549038498592
".Parker County, Texas",148220,149552,157088,165938,173494,23942,16.15301578734314
".Brunswick County, North Carolina",136695,138168,144843,152908,159964,21796,15.944987014887158
".St. Johns County, Florida",273422,277099,293251,307072,320110,43011,15.730628844789374
".Jackson County, Georgia",75912,76731,80374,84009,88615,11884,15.654968911371062
".Jasper County, South Carolina",28810,29150,30431,31986,33544,4394,15.251648733078794
".Hays County, Texas",241057,243968,255955,269103,280486,36518,15.149114109940804
".Ellis County, Texas",192445,194317,203187,212323,222829,28512,14.81566161760503
".Chambers County, Texas",46562,47019,48727,51309,53876,6857,14.726601091018427
".Blanco County, Texas",11375,11449,11882,12411,13048,1599,14.057142857142857
".Montgomery County, Texas",620460,625291,650755,679554,711354,86063,13.870837765528801
".Walton County, Florida",75307,75941,80021,83404,86354,10413,13.827399843308058
".Camas County, Idaho",1074,1084,1137,1169,1232,148,13.780260707635009
".Kendall County, Texas",44272,44539,46861,49019,50537,5998,13.548066498012288
".Williamson County, Texas",609006,615552,644595,672273,697191,81639,13.405286647422193
".Flagler County, Florida",115372,116028,120974,126758,131439,15411,13.357660437541172
".Wise County, Texas",68631,68947,71871,74897,78097,9150,13.332167679328583
".Canadian County, Oklahoma",154151,155434,161999,169254,175829,20395,13.230533697478448
".New Kent County, Virginia",22944,23123,23963,24952,26134,3011,13.123256624825663
".Hunt County, Texas",99953,100254,103591,108438,113347,13093,13.099156603603692
".Pender County, North Carolina",60199,60639,63020,65698,68521,7882,13.093240751507501
".Bastrop County, Texas",97218,98057,102276,106395,110778,12721,13.08502540681767
".San Juan County, Colorado",704,711,741,806,802,91,12.926136363636365
".St. Lucie County, Florida",329226,331441,344246,358886,373586,42145,12.801236840346753
".Pinal County, Arizona",426000,430187,448993,465037,484239,54052,12.688262910798123
".Horry County, South Carolina",351032,353765,366093,383147,397478,43713,12.452710863966818
".McClain County, Oklahoma",41664,41914,43535,45410,47072,5158,12.379992319508448
".Jasper County, Georgia",14590,14662,15263,15979,16455,1793,12.289239204934887
".Johnson County, Texas",180008,180964,187511,195496,202906,21942,12.189458246300164
".Polk County, Florida",725048,730158,755598,788382,818330,88172,12.160850040273194
".Lancaster County, South Carolina",96011,96588,100529,104724,108215,11627,12.110070721063211
".Osceola County, Florida",388664,391141,403990,422543,437784,46643,12.00085420826215
".Tooele County, Utah",72709,73355,76775,79955,82051,8696,11.960004951244
".Pasco County, Florida",561893,566156,585191,609141,632996,66840,11.895503236381304
".Musselshell County, Montana",4737,4750,4908,5169,5308,558,11.779607346421786
".Boundary County, Idaho",12057,12139,12620,13272,13557,1418,11.760802853114374
".Lincoln County, South Dakota",65158,65648,67992,71024,73238,7590,11.648607999017772
".Nassau County, Florida",90353,91031,94399,97826,101501,10470,11.587883080805286
".Mineral County, Montana",4531,4568,4859,5020,5090,522,11.520635621275657
".Franklin County, North Carolina",68621,69164,71832,74400,77001,7837,11.42070211742761
".Currituck County, North Carolina",28104,28405,29700,31008,31593,3188,11.34358098491318
".Iron County, Utah",57286,57713,60520,62508,64211,6498,11.343085570645533
".Washington County, Utah",180275,182015,191513,197730,202452,20437,11.336569130495077
".Collin County, Texas",1066467,1075736,1114661,1158995,1195359,119623,11.216755886492503
".Boise County, Idaho",7614,7664,8133,8360,8517,853,11.203047018649857
".Johnston County, North Carolina",215994,217808,227302,234902,241955,24147,11.179477207700215
".Petroleum County, Montana",495,499,518,521,554,55,11.11111111111111
".Waller County, Texas",56751,57285,59419,61852,63553,6268,11.044739299748022
".Lincoln County, Montana",19672,19734,20582,21510,21895,2161,10.985156567710451
".Bonner County, Idaho",47103,47403,49633,51407,52547,5144,10.920748147676369
".Adams County, Idaho",4382,4428,4623,4791,4903,475,10.839799178457325
".Billings County, North Dakota",946,933,963,1025,1034,101,10.676532769556026
".Canyon County, Idaho",231102,233013,243710,250892,257674,24661,10.671045685454908
".Fort Bend County, Texas",822797,829109,860305,888919,916778,87669,10.65499752672895
".Dallas County, Iowa",99732,100536,104174,108146,111092,10556,10.584366101151085
".Barrow County, Georgia",83504,83981,86727,89245,92792,8811,10.551590342977581
".Bryan County, Georgia",44741,45043,46974,48218,49739,4696,10.49596566907311
".Sussex County, Delaware",237375,238629,247809,256447,263509,24880,10.481305950500264
".Union County, Ohio",62783,63085,65106,66876,69637,6552,10.435946036347419
".Berkeley County, South Carolina",229826,231533,236857,244952,255217,23684,10.305187402643739
".Denton County, Texas",906419,914398,943883,977760,1007703,93305,10.293804520867281
".Juab County, Utah",11778,11819,12205,12586,13023,1204,10.222448633044658
".Burleson County, Texas",17643,17682,18109,18690,19475,1793,10.162670747605281
".Wilson County, Tennessee",147748,148659,152036,158593,163674,15015,10.162574112678344
".Gulf County, Florida",14199,14259,14462,15299,15693,1434,10.09930276780055
".Jefferson County, Idaho",30890,31080,32201,33336,34198,3118,10.093881515053415
".Limestone County, Alabama",103565,104203,107303,110868,114654,10451,10.091247042919905
".Grimes County, Texas",29299,29440,30145,31170,32384,2944,10.04812450936892
".Lamar County, Georgia",18498,18549,18697,19473,20401,1852,10.011893177640827
".Madison County, Montana",8627,8661,8953,9252,9521,860,9.968702909470267
".Lake County, Florida",383962,386216,396352,410090,424462,38246,9.960881545569613
".Loudon County, Tennessee",54887,55129,56785,58244,60591,5462,9.951354601271703
".Elbert County, Colorado",26056,26216,27159,27842,28806,2590,9.940128953024255
".Sanders County, Montana",12398,12458,12944,13384,13684,1226,9.88869172447169
".Manatee County, Florida",399714,401619,413716,429169,441095,39476,9.876061383889482
".Walton County, Georgia",96664,97158,99814,103064,106702,9544,9.873375817263923
".Effingham County, Georgia",64771,65169,66764,69034,71541,6372,9.837736023837829
".Hampshire County, Massachusetts",162316,146616,163128,162518,162502,15886,9.787081988220509
".Wagoner County, Oklahoma",80983,81384,84230,86697,89280,7896,9.75019448526234
".Lincoln County, North Carolina",86829,87220,89941,93108,95675,8455,9.737530087873868
".Charlotte County, Florida",186825,187995,194934,202582,206134,18139,9.709086043088453
".Kane County, Utah",7666,7693,7985,8203,8425,732,9.548656404904774
".Gilchrist County, Florida",17858,17882,18316,19002,19587,1705,9.547541717997536
".Banks County, Georgia",18035,18081,18538,19342,19789,1708,9.470474078181313
".Goochland County, Virginia",24730,24855,25529,26162,27197,2342,9.470279013344117
".Union County, Georgia",24628,24802,25552,26390,27124,2322,9.428292999837582
".Gem County, Idaho",19122,19272,19802,20454,21071,1799,9.40801171425583
".Custer County, South Dakota",8320,8335,8639,9021,9117,782,9.399038461538462
".Hood County, Texas",61598,62057,64293,66394,67774,5717,9.281145491736744
".Bay County, Florida",175208,174525,179520,185210,190769,16244,9.271266152230492
".Monroe County, Georgia",27956,28057,28753,29469,30625,2568,9.185863499785377
".Burnet County, Texas",49127,49483,51146,52567,53991,4508,9.176216744356463
".Hendry County, Florida",39621,39723,40215,41391,43333,3610,9.111329850331895
".Lee County, Florida",760814,765547,790888,822391,834573,69026,9.07265113417997
".Greene County, Georgia",18913,19028,19544,20111,20722,1694,8.956802199545285
".Maury County, Tennessee",100969,101826,104942,107996,110760,8934,8.84826035713932
".Hernando County, Florida",194508,195624,200693,206935,212807,17183,8.834083945133363
".Baldwin County, Alabama",231768,233227,239439,246531,253507,20280,8.750129439784612
".Carbon County, Montana",10471,10505,10889,11236,11419,914,8.728870212969152
".Marion County, Florida",375904,377472,385135,396437,409959,32487,8.642366136034733
".Louisa County, Virginia",37597,37796,39016,40030,41037,3241,8.620368646434557
".Benton County, Arkansas",284340,286618,294297,302822,311013,24395,8.579517479074347
".Lawrence County, South Dakota",25771,25844,26162,27240,28053,2209,8.571650304605953
".Granite County, Montana",3310,3312,3360,3497,3595,283,8.549848942598187
".Guadalupe County, Texas",172711,173697,177301,182702,188454,14757,8.544331281736541
".Franklin County, Idaho",14194,14282,14670,15170,15494,1212,8.538819219388474
".Caldwell County, Texas",45880,45945,46940,47849,49859,3914,8.530950305143852
".Weld County, Colorado",328987,331458,339897,350266,359442,27984,8.506111183724585
".Oneida County, Idaho",4566,4566,4605,4740,4953,387,8.475689881734558
".Montgomery County, Tennessee",219996,221281,227741,234899,239872,18591,8.450608192876235
".Flathead County, Montana",104354,104876,108769,111885,113679,8803,8.435709220537785
".Utah County, Utah",659394,663595,685973,702692,719174,55579,8.428799776764727
".Spartanburg County, South Carolina",327992,329379,335397,345948,356698,27319,8.329166565038172
