table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
,,2020,2021,2022,2023
Texas,"29,145,459","29,234,361","29,561,286","30,029,848","30,503,301"
".Anderson County, Texas","57,921","57,930","58,302","57,227","57,736"
".Andrews County, Texas","18,608","18,612","18,411","18,324","18,664"
".Angelina County, Texas","86,400","86,388","86,730","87,124","87,319"
".Aransas County, Texas","23,829","23,932","24,510","24,963","25,374"
".Archer County, Texas","8,555","8,556","8,702","8,849","9,029"
".Armstrong County, Texas","1,849","1,852","1,840","1,857","1,832"
".Atascosa County, Texas","48,977","49,128","49,817","50,736","51,784"
".Austin County, Texas","30,165","30,132","30,431","31,070","31,677"
".Bailey County, Texas","6,903","6,866","6,803","6,803","6,672"
".Bandera County, Texas","20,847","20,998","21,528","22,120","22,637"
".Bastrop County, Texas","97,218","98,057","102,276","106,395","110,778"
".Baylor County, Texas","3,467","3,463","3,458","3,462","3,463"
".Bee County, Texas","31,050","31,038","30,836","30,992","30,850"
".Bell County, Texas","370,657","372,258","380,399","387,454","393,193"
".Bexar County, Texas","2,009,316","2,015,501","2,030,981","2,060,191","2,087,679"
".Blanco County, Texas","11,375","11,449","11,882","12,411","13,048"
".Borden County, Texas",629,642,618,580,572
".Bosque County, Texas","18,232","18,252","18,499","18,707","18,996"
".Bowie County, Texas","92,899","92,923","92,282","91,712","91,687"
".Brazoria County, Texas","372,035","373,493","379,121","388,234","398,938"
".Brazos County, Texas","233,848","234,505","237,612","241,931","244,703"
".Brewster County, Texas","9,545","9,560","9,473","9,344","9,513"
".Briscoe County, Texas","1,434","1,419","1,400","1,439","1,445"
".Brooks County, Texas","7,079","7,048","6,969","6,902","6,848"
".Brown County, Texas","38,092","38,043","38,135","38,443","38,709"
".Burleson County, Texas","17,643","17,682","18,109","18,690","19,475"
".Burnet County, Texas","49,127","49,483","51,146","52,567","53,991"
".Caldwell County, Texas","45,880","45,945","46,940","47,849","49,859"
".Calhoun County, Texas","20,105","20,064","19,782","19,682","19,696"
".Callahan County, Texas","13,705","13,747","14,098","14,247","14,374"
".Cameron County, Texas","421,020","421,480","422,636","424,911","426,710"
".Camp County, Texas","12,464","12,428","12,602","12,721","13,000"
".Carson County, Texas","5,799","5,792","5,714","5,816","5,878"
".Cass County, Texas","28,448","28,442","28,573","28,538","28,659"
".Castro County, Texas","7,373","7,334","7,366","7,287","7,227"
".Chambers County, Texas","46,562","47,019","48,727","51,309","53,876"
".Cherokee County, Texas","50,413","50,493","51,150","51,432","52,217"
".Childress County, Texas","6,668","6,661","6,787","6,841","6,788"
".Clay County, Texas","10,220","10,257","10,311","10,499","10,738"
".Cochran County, Texas","2,547","2,561","2,480","2,522","2,509"
".Coke County, Texas","3,285","3,300","3,304","3,322","3,352"
".Coleman County, Texas","7,687","7,688","7,722","7,822","7,842"
".Collin County, Texas","1,066,467","1,075,736","1,114,661","1,158,995","1,195,359"
".Collingsworth County, Texas","2,651","2,640","2,607","2,585","2,563"
".Colorado County, Texas","20,558","20,563","20,642","20,832","21,117"
".Comal County, Texas","161,493","163,659","174,977","184,749","193,928"
".Comanche County, Texas","13,592","13,630","13,805","13,921","14,050"
".Concho County, Texas","3,302","3,318","3,348","3,367","3,297"
".Cooke County, Texas","41,670","41,748","42,398","43,048","43,782"
".Coryell County, Texas","83,085","83,130","84,389","84,205","84,878"
".Cottle County, Texas","1,379","1,365","1,355","1,317","1,294"
".Crane County, Texas","4,676","4,675","4,636","4,551","4,574"
".Crockett County, Texas","3,096","3,093","3,013","2,960","2,858"
".Crosby County, Texas","5,129","5,098","5,085","4,992","4,917"
".Culberson County, Texas","2,187","2,186","2,182","2,163","2,196"
".Dallam County, Texas","7,123","7,127","7,175","7,235","7,237"
".Dallas County, Texas","2,611,481","2,610,112","2,588,235","2,601,993","2,606,358"
".Dawson County, Texas","12,459","12,474","12,367","12,176","12,004"
".Deaf Smith County, Texas","18,584","18,526","18,379","18,399","18,347"
".Delta County, Texas","5,231","5,228","5,344","5,413","5,520"
".Denton County, Texas","906,419","914,398","943,883","977,760","1,007,703"
".DeWitt County, Texas","19,819","19,833","19,949","19,754","19,929"
".Dickens County, Texas","1,769","1,758","1,734","1,736","1,711"
".Dimmit County, Texas","8,613","8,579","8,479","8,360","8,257"
".Donley County, Texas","3,261","3,279","3,361","3,289","3,214"
".Duval County, Texas","9,829","9,810","9,998","9,706","9,604"
".Eastland County, Texas","17,723","17,766","17,826","17,893","18,037"
".Ector County, Texas","165,170","165,490","160,758","161,057","164,494"
".Edwards County, Texas","1,423","1,420","1,429","1,428","1,393"
".Ellis County, Texas","192,445","194,317","203,187","212,323","222,829"
".El Paso County, Texas","865,661","866,606","867,499","867,239","869,880"
".Erath County, Texas","42,543","42,719","43,381","43,837","44,195"
".Falls County, Texas","16,968","16,960","17,113","16,956","17,286"
".Fannin County, Texas","35,661","35,801","36,723","37,075","37,571"
".Fayette County, Texas","24,433","24,471","24,690","24,934","25,474"
".Fisher County, Texas","3,673","3,678","3,675","3,626","3,612"
".Floyd County, Texas","5,397","5,370","5,292","5,239","5,090"
".Foard County, Texas","1,095","1,088","1,056","1,063","1,079"
".Fort Bend County, Texas","822,797","829,109","860,305","888,919","916,778"
