table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Difference
United States,"331,464,948",331526933.0,"332,048,977","333,271,411",334914895.0,"3,387,962"
".Maricopa County, Arizona","4,425,102",4445059.0,"4,499,438","4,555,833",4585871.0,"140,812"
".Collin County, Texas","1,066,467",1075736.0,"1,114,661","1,158,995",1195359.0,"119,623"
".Harris County, Texas","4,731,122",4734792.0,"4,735,517","4,781,337",4835125.0,"100,333"
".Denton County, Texas","906,419",914398.0,"943,883","977,760",1007703.0,"93,305"
".Polk County, Florida","725,048",730158.0,"755,598","788,382",818330.0,"88,172"
".Fort Bend County, Texas","822,797",829109.0,"860,305","888,919",916778.0,"87,669"
".Montgomery County, Texas","620,460",625291.0,"650,755","679,554",711354.0,"86,063"
".Williamson County, Texas","609,006",615552.0,"644,595","672,273",697191.0,"81,639"
".Bexar County, Texas","2,009,316",2015501.0,"2,030,981","2,060,191",2087679.0,"72,178"
".Riverside County, California","2,418,182",2422993.0,"2,453,399","2,474,241",2492442.0,"69,449"
".Hillsborough County, Florida","1,459,779",1466255.0,"1,484,607","1,513,473",1535564.0,"69,309"
".Lee County, Florida","760,814",765547.0,"790,888","822,391",834573.0,"69,026"
".Tarrant County, Texas","2,110,623",2115840.0,"2,129,695","2,155,646",2182947.0,"67,107"
".Pasco County, Florida","561,893",566156.0,"585,191","609,141",632996.0,"66,840"
".Clark County, Nevada","2,265,475",2274887.0,"2,295,310","2,322,535",2336573.0,"61,686"
".Wake County, North Carolina","1,129,352",1130483.0,"1,152,301","1,170,778",1190275.0,"59,792"
".Utah County, Utah","659,394",663595.0,"685,973","702,692",719174.0,"55,579"
".Pinal County, Arizona","426,000",430187.0,"448,993","465,037",484239.0,"54,052"
".Osceola County, Florida","388,664",391141.0,"403,990","422,543",437784.0,"46,643"
".Mecklenburg County, North Carolina","1,115,534",1117423.0,"1,126,283","1,144,075",1163701.0,"46,278"
".Horry County, South Carolina","351,032",353765.0,"366,093","383,147",397478.0,"43,713"
".St. Johns County, Florida","273,422",277099.0,"293,251","307,072",320110.0,"43,011"
".St. Lucie County, Florida","329,226",331441.0,"344,246","358,886",373586.0,"42,145"
".Orange County, Florida","1,429,908",1431679.0,"1,427,761","1,451,761",1471416.0,"39,737"
".Palm Beach County, Florida","1,492,199",1494282.0,"1,503,435","1,519,867",1533801.0,"39,519"
".Manatee County, Florida","399,714",401619.0,"413,716","429,169",441095.0,"39,476"
".Kaufman County, Texas","145,307",147140.0,"158,313","172,611",185690.0,"38,550"
